Ordernummer,Vorname + Nachname,Zweite Zeile Lieferadresse 02,Straße + Hausnummer,Stadt,PLZ,Ländercode (DE),Bestellungs_Emailaddresse 02,Sendestatus
717699227,Hannes Sneaker,Sneaker Unlimited GmbH,Berliner Julier Str HSN 4 GmbH,Berlin,13407,DE,anthony.falk823@achtfreunde.com,nicht versendet
717751118,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-ayfezxyk7@achtfreunde.com,nicht versendet
717699233,Hannes Sneaker,Sneaker Unlimited GmbH,Berliner Julier Str HSN 4 GmbH,Berlin,13407,DE,audrey.burrows813@achtfreunde.com,nicht versendet
17699095,Hannes Sneaker,Sneaker Unlimited GmbH,Berliner Julier Str HSN 4 GmbH,Berlin,13407,DE,katherine.bannon769@achtfreunde.com,nicht versendet
717713513,Hannes Sneaker,Sneaker Unlimited GmbH,Berliner Julier Str HSN 4 GmbH,Berlin,13407,DE,cesar.wilson398@achtfreunde.com,nicht versendet
717713527,Hannes Sneaker,Sneaker Unlimited GmbH,Berliner Julier Str HSN 4 GmbH,Berlin,13407,DE,samantha.jacobson052@achtfreunde.com,nicht versendet
717713587,Hannes Sneaker,Sneaker Unlimited GmbH,Berliner Julier Str HSN 4 GmbH,Berlin,13407,DE,violet.engle446@achtfreunde.com,nicht versendet
717713588,Hannes Sneaker,Sneaker Unlimited GmbH,Berliner Julier Str HSN 4 GmbH,Berlin,13407,DE,scott.woodring353@achtfreunde.com,nicht versendet
717715001,Hannes Sneaker,Sneaker Unlimited GmbH,Berliner Julier Str HSN 4 GmbH,Berlin,13407,DE,lillie.harris567@achtfreunde.com,nicht versendet
717751117,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-brri4pce1@achtfreunde.com,nicht versendet
717751119,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-70uxivjm0@achtfreunde.com,nicht versendet
717751141,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-h9smsu9q2@achtfreunde.com,nicht versendet
717751150,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-3eim1hfj0@achtfreunde.com,nicht versendet
717751182,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-wozrre8s0@achtfreunde.com,nicht versendet
717751219,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-cscsu17k5@achtfreunde.com,nicht versendet
717751211,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-wcwuacoe4@achtfreunde.com,nicht versendet
717751215,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-eznurcz93@achtfreunde.com,nicht versendet
717751231,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-c9ptzsha1@achtfreunde.com,nicht versendet
717751217,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-xivxyidz7@achtfreunde.com,nicht versendet
717751235,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-plnysizd7@achtfreunde.com,nicht versendet
717751241,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-knoyjt3q7@achtfreunde.com,nicht versendet
717751230,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-iv2cc4w34@achtfreunde.com,nicht versendet
717751249,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-tnygvvhq3@achtfreunde.com,nicht versendet
717751283,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-qviyoyef4@achtfreunde.com,nicht versendet
717751279,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-m94dydrc0@achtfreunde.com,nicht versendet
717751295,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-gpyejpae3@achtfreunde.com,nicht versendet
717751348,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-5nfpjpjq9@achtfreunde.com,nicht versendet
717751387,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-xuz7colv2@achtfreunde.com,nicht versendet
717751384,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-np5yvyy71@achtfreunde.com,nicht versendet
717751386,Berlins Souvenirs,,Potsdamer-Platz-Unlimited 10 GmbH,Berlin,10785,DE,berlinssouvenirs-0g8pa8th6@achtfreunde.com,nicht versendet
